gen,tick,subject_health,opponent_health
3,80,70.0,70.0
3,81,69.0,69.0
3,82,68.0,68.0
3,83,67.0,67.0
3,84,66.0,66.0
3,85,65.0,65.0
3,86,64.0,64.0
3,87,63.0,63.0
3,88,62.0,62.0
3,89,61.0,61.0
3,90,60.0,60.0
3,91,59.0,59.0
3,92,58.0,58.0
3,93,57.0,57.0
3,94,56.0,56.0
3,95,55.0,55.0
3,96,54.0,54.0
3,97,53.0,53.0
3,98,52.0,52.0
3,99,51.0,51.0
3,100,50.0,50.0
3,101,49.0,49.0
3,102,48.0,48.0
3,103,47.0,47.0
3,104,46.0,46.0
3,105,46.0,46.0
3,106,46.0,46.0
3,107,46.0,46.0
3,108,46.0,46.0
3,109,46.0,46.0
3,110,46.0,46.0
3,111,46.0,46.0
3,112,46.0,46.0
3,113,46.0,46.0
3,114,46.0,46.0
3,115,46.0,46.0
3,116,46.0,46.0
3,117,46.0,46.0
3,118,46.0,46.0
3,119,46.0,46.0
3,120,46.0,46.0
3,121,46.0,46.0
3,122,46.0,46.0
3,123,46.0,46.0
3,124,46.0,46.0
3,125,46.0,46.0
3,126,46.0,46.0
3,127,46.0,46.0
3,128,46.0,46.0
3,129,46.0,46.0
3,130,46.0,46.0
3,131,46.0,46.0
3,132,46.0,46.0
3,133,46.0,46.0
3,134,46.0,46.0
3,135,46.0,46.0
3,136,46.0,46.0
3,137,46.0,46.0
3,138,46.0,46.0
3,139,46.0,46.0
3,140,46.0,46.0
3,141,46.0,46.0
3,142,46.0,46.0
3,143,46.0,46.0
3,144,46.0,46.0
3,145,46.0,46.0
3,146,46.0,46.0
3,147,46.0,46.0
3,148,46.0,46.0
3,149,46.0,46.0
3,150,46.0,46.0
3,151,46.0,46.0
3,152,46.0,46.0
3,153,46.0,46.0
3,154,46.0,46.0
3,155,46.0,46.0
3,156,46.0,46.0
3,157,46.0,46.0
3,158,46.0,46.0
3,159,46.0,46.0
3,160,46.0,46.0
3,161,46.0,46.0
3,162,46.0,46.0
3,163,46.0,46.0
3,164,46.0,46.0
3,165,46.0,46.0
3,166,46.0,46.0
3,167,46.0,46.0
3,168,46.0,46.0
3,169,46.0,46.0
3,170,46.0,46.0
3,171,46.0,46.0
3,172,46.0,46.0
3,173,46.0,46.0
3,174,46.0,46.0
3,175,46.0,46.0
3,176,46.0,46.0
3,177,46.0,46.0
3,178,46.0,46.0
3,179,46.0,46.0
3,180,46.0,46.0
3,181,46.0,46.0
3,182,46.0,46.0
3,183,46.0,46.0
3,184,46.0,46.0
3,185,46.0,46.0
3,186,46.0,46.0
3,187,46.0,46.0
3,188,46.0,46.0
3,189,46.0,46.0
3,190,46.0,46.0
3,191,46.0,46.0
3,192,46.0,46.0
3,193,46.0,46.0
3,194,46.0,46.0
3,195,46.0,46.0
3,196,46.0,46.0
3,197,46.0,46.0
3,198,46.0,46.0
3,199,46.0,46.0
3,200,46.0,46.0
4,1,100.0,100.0
4,2,100.0,100.0
4,3,100.0,100.0
4,4,100.0,100.0
4,5,100.0,100.0
4,6,100.0,100.0
4,7,100.0,100.0
4,8,100.0,100.0
4,9,100.0,100.0
4,10,100.0,100.0
4,11,100.0,100.0
4,12,100.0,100.0
4,13,100.0,100.0
4,14,100.0,100.0
4,15,100.0,100.0
4,16,100.0,100.0
4,17,100.0,100.0
4,18,100.0,100.0
4,19,100.0,100.0
4,20,100.0,100.0
4,21,100.0,100.0
4,22,100.0,100.0
4,23,100.0,100.0
4,24,100.0,100.0
4,25,100.0,100.0
4,26,100.0,100.0
4,27,100.0,100.0
4,28,100.0,100.0
4,29,100.0,100.0
4,30,100.0,100.0
4,31,100.0,100.0
4,32,100.0,100.0
4,33,100.0,100.0
4,34,100.0,100.0
4,35,100.0,100.0
4,36,100.0,100.0
4,37,100.0,100.0
4,38,100.0,100.0
4,39,100.0,100.0
4,40,100.0,100.0
4,41,100.0,100.0
4,42,100.0,100.0
4,43,100.0,100.0
4,44,100.0,100.0
4,45,100.0,100.0
4,46,100.0,100.0
4,47,100.0,100.0
4,48,100.0,100.0
4,49,100.0,100.0
4,50,100.0,100.0
4,51,99.0,99.0
4,52,98.0,98.0
4,53,97.0,97.0
4,54,96.0,96.0
4,55,95.0,95.0
4,56,94.0,94.0
4,57,93.0,93.0
4,58,92.0,92.0
4,59,91.0,91.0
4,60,90.0,90.0
4,61,89.0,89.0
4,62,88.0,88.0
4,63,87.0,87.0
4,64,86.0,86.0
4,65,85.0,85.0
4,66,84.0,84.0
4,67,83.0,83.0
4,68,82.0,82.0
4,69,81.0,81.0
4,70,80.0,80.0
4,71,79.0,79.0
4,72,78.0,78.0
4,73,77.0,77.0
4,74,76.0,76.0
4,75,75.0,75.0
4,76,74.0,74.0
4,77,73.0,73.0
4,78,72.0,72.0
4,79,71.0,71.0
4,80,70.0,70.0
4,81,69.0,69.0
4,82,68.0,68.0
4,83,67.0,67.0
4,84,66.0,66.0
4,85,65.0,65.0
4,86,64.0,64.0
4,87,63.0,63.0
4,88,62.0,62.0
4,89,61.0,61.0
4,90,60.0,60.0
4,91,59.0,59.0
4,92,58.0,58.0
4,93,57.0,57.0
4,94,56.0,56.0
4,95,55.0,55.0
4,96,54.0,54.0
4,97,53.0,53.0
4,98,52.0,52.0
4,99,51.0,51.0
4,100,50.0,50.0
4,101,49.0,49.0
4,102,48.0,48.0
4,103,47.0,47.0
4,104,46.0,46.0
4,105,46.0,46.0
4,106,46.0,46.0
4,107,46.0,46.0
4,108,46.0,46.0
4,109,46.0,46.0
4,110,46.0,46.0
4,111,46.0,46.0
4,112,46.0,46.0
4,113,46.0,46.0
4,114,46.0,46.0
4,115,46.0,46.0
4,116,46.0,46.0
4,117,46.0,46.0
4,118,46.0,46.0
4,119,46.0,46.0
4,120,46.0,46.0
4,121,46.0,46.0
4,122,46.0,46.0
4,123,46.0,46.0
4,124,46.0,46.0
4,125,46.0,46.0
4,126,46.0,46.0
4,127,46.0,46.0
4,128,46.0,46.0
4,129,46.0,46.0
4,130,46.0,46.0
4,131,46.0,46.0
4,132,46.0,46.0
4,133,46.0,46.0
4,134,46.0,46.0
4,135,46.0,46.0
4,136,46.0,46.0
4,137,46.0,46.0
4,138,46.0,46.0
4,139,46.0,46.0
4,140,46.0,46.0
4,141,46.0,46.0
4,142,46.0,46.0
4,143,46.0,46.0
4,144,46.0,46.0
4,145,46.0,46.0
4,146,46.0,46.0
4,147,46.0,46.0
4,148,46.0,46.0
4,149,46.0,46.0
4,150,46.0,46.0
4,151,46.0,46.0
4,152,46.0,46.0
4,153,46.0,46.0
4,154,46.0,46.0
4,155,46.0,46.0
4,156,46.0,46.0
4,157,46.0,46.0
4,158,46.0,46.0
4,159,46.0,46.0
4,160,45.0,46.0
4,161,45.0,46.0
4,162,45.0,46.0
4,163,45.0,46.0
4,164,45.0,46.0
4,165,45.0,46.0
4,166,44.0,46.0
4,167,43.0,46.0
4,168,42.0,46.0
4,169,41.0,46.0
4,170,40.0,46.0
4,171,39.0,46.0
4,172,38.0,46.0
4,173,37.0,46.0
4,174,36.0,46.0
4,175,35.0,46.0
4,176,34.0,46.0
4,177,33.0,46.0
4,178,32.0,46.0
4,179,31.0,46.0
4,180,30.0,46.0
4,181,29.0,46.0
4,182,28.0,46.0
4,183,27.0,46.0
4,184,26.0,46.0
4,185,25.0,46.0
4,186,24.0,46.0
4,187,23.0,46.0
4,188,22.0,46.0
4,189,21.0,46.0
4,190,20.0,46.0
4,191,19.0,46.0
4,192,18.0,46.0
4,193,17.0,46.0
4,194,16.0,46.0
4,195,15.0,46.0
4,196,14.0,46.0
4,197,13.0,46.0
4,198,12.0,46.0
4,199,11.0,46.0
4,200,10.0,46.0
5,1,100.0,100.0
5,2,100.0,100.0
5,3,100.0,100.0
5,4,100.0,100.0
5,5,100.0,100.0
5,6,100.0,100.0
5,7,100.0,100.0
5,8,100.0,100.0
5,9,100.0,100.0
5,10,100.0,100.0
5,11,100.0,100.0
5,12,100.0,100.0
5,13,100.0,100.0
5,14,100.0,100.0
5,15,100.0,100.0
5,16,100.0,100.0
5,17,100.0,100.0
5,18,100.0,100.0
5,19,100.0,100.0
5,20,100.0,100.0
5,21,100.0,100.0
5,22,100.0,100.0
5,23,100.0,100.0
5,24,100.0,100.0
5,25,100.0,100.0
5,26,100.0,100.0
5,27,100.0,100.0
5,28,100.0,100.0
5,29,100.0,100.0
5,30,100.0,100.0
5,31,100.0,100.0
5,32,100.0,100.0
5,33,100.0,100.0
5,34,100.0,100.0
5,35,100.0,100.0
5,36,100.0,100.0
5,37,100.0,100.0
5,38,100.0,100.0
5,39,100.0,100.0
5,40,100.0,100.0
5,41,100.0,100.0
5,42,100.0,100.0
5,43,100.0,100.0
5,44,100.0,100.0
5,45,100.0,100.0
5,46,100.0,100.0
5,47,100.0,100.0
5,48,100.0,100.0
5,49,100.0,100.0
5,50,100.0,100.0
5,51,99.0,99.0
5,52,98.0,98.0
5,53,97.0,97.0
5,54,96.0,96.0
5,55,95.0,95.0
5,56,94.0,94.0
5,57,93.0,93.0
5,58,92.0,92.0
5,59,91.0,91.0
5,60,90.0,90.0
5,61,89.0,89.0
5,62,88.0,88.0
5,63,87.0,87.0
5,64,86.0,86.0
5,65,85.0,85.0
5,66,84.0,84.0
5,67,83.0,83.0
5,68,82.0,82.0
5,69,81.0,81.0
5,70,80.0,80.0
5,71,79.0,79.0
5,72,78.0,78.0
5,73,77.0,77.0
5,74,76.0,76.0
5,75,75.0,75.0
5,76,74.0,74.0
5,77,73.0,73.0
5,78,72.0,72.0
5,79,71.0,71.0
5,80,70.0,70.0
5,81,69.0,69.0
5,82,68.0,68.0
5,83,67.0,67.0
5,84,66.0,66.0
5,85,65.0,65.0
5,86,64.0,64.0
5,87,63.0,63.0
5,88,62.0,62.0
5,89,61.0,61.0
5,90,60.0,60.0
5,91,59.0,59.0
5,92,58.0,58.0
5,93,57.0,57.0
5,94,56.0,56.0
5,95,55.0,55.0
5,96,54.0,54.0
5,97,53.0,53.0
5,98,52.0,52.0
5,99,51.0,51.0
5,100,50.0,50.0
5,101,49.0,49.0
5,102,48.0,48.0
5,103,47.0,47.0
5,104,46.0,46.0
5,105,45.0,46.0
5,106,44.0,46.0
5,107,43.0,46.0
5,108,42.0,46.0
5,109,41.0,46.0
5,110,40.0,46.0
5,111,39.0,46.0
5,112,38.0,46.0
5,113,37.0,46.0
5,114,36.0,46.0
5,115,35.0,46.0
5,116,34.0,46.0
5,117,33.0,46.0
5,118,32.0,46.0
5,119,31.0,46.0
5,120,30.0,46.0
5,121,29.0,46.0
5,122,28.0,46.0
5,123,27.0,46.0
5,124,26.0,46.0
5,125,25.0,46.0
5,126,24.0,46.0
5,127,23.0,46.0
5,128,22.0,46.0
5,129,21.0,46.0
5,130,20.0,46.0
5,131,20.0,46.0
5,132,20.0,46.0
5,133,20.0,46.0
5,134,20.0,46.0
5,135,20.0,46.0
5,136,20.0,46.0
5,137,20.0,46.0
5,138,20.0,46.0
5,139,20.0,46.0
5,140,20.0,46.0
5,141,20.0,46.0
5,142,20.0,46.0
5,143,20.0,46.0
5,144,20.0,46.0
5,145,20.0,46.0
5,146,20.0,46.0
5,147,20.0,46.0
5,148,20.0,46.0
5,149,20.0,46.0
5,150,20.0,46.0
5,151,20.0,46.0
5,152,20.0,46.0
5,153,20.0,46.0
5,154,20.0,46.0
5,155,20.0,46.0
5,156,20.0,46.0
5,157,20.0,46.0
5,158,20.0,46.0
5,159,20.0,46.0
5,160,20.0,46.0
5,161,20.0,46.0
5,162,20.0,46.0
5,163,20.0,46.0
5,164,20.0,46.0
5,165,20.0,46.0
5,166,20.0,46.0
5,167,20.0,46.0
5,168,20.0,46.0
5,169,20.0,46.0
5,170,20.0,46.0
5,171,20.0,46.0
5,172,20.0,46.0
5,173,20.0,46.0
5,174,20.0,46.0
5,175,20.0,46.0
5,176,20.0,46.0
5,177,20.0,46.0
5,178,20.0,46.0
5,179,20.0,46.0
5,180,20.0,46.0
5,181,20.0,46.0
5,182,20.0,46.0
5,183,20.0,46.0
5,184,20.0,46.0
5,185,20.0,46.0
5,186,20.0,46.0
5,187,20.0,46.0
5,188,20.0,46.0
5,189,20.0,46.0
5,190,20.0,46.0
5,191,20.0,46.0
5,192,20.0,46.0
5,193,20.0,46.0
5,194,20.0,46.0
5,195,20.0,46.0
5,196,20.0,46.0
5,197,20.0,46.0
5,198,20.0,46.0
5,199,20.0,46.0
5,200,20.0,46.0
6,1,100.0,100.0
6,2,100.0,100.0
6,3,100.0,100.0
6,4,100.0,100.0
6,5,100.0,100.0
6,6,100.0,100.0
6,7,100.0,100.0
6,8,100.0,100.0
6,9,100.0,100.0
6,10,100.0,100.0
6,11,100.0,100.0
6,12,100.0,100.0
